metric,condition,n_runs,off_mean_m,on_mean_m,improvement_mean_pct,improvement_std_pct,improvement_min_pct,improvement_max_pct
arrival_peak_error,calm,10,0.4333,0.1654,60.78954578609451,6.5226009566359044,48.89589905362776,69.74169741697416
arrival_peak_error,light,10,0.13040000000000002,0.1632,-28.50369168402771,22.18817208557419,-62.037037037037024,8.045977011494244
arrival_peak_error,default,10,0.3317,0.2733,-1.9816790372796913,79.53746326086215,-236.66666666666666,63.33333333333334
arrival_peak_error,strong,10,0.5235000000000001,0.307,41.22382707734958,25.494697612464638,19.607843137254907,83.45588235294117
arrival_peak_error,crosswind,10,0.18580000000000002,0.1933,-4.198027356066256,8.677721974256139,-24.705882352941163,10.752688172043005
peak_cross_track,calm,10,0.7327,0.10880000000000001,84.74398162786106,2.5250272525102724,78.70370370370371,87.83930510314876
peak_cross_track,light,10,0.0696,0.0869,-25.52095633874592,22.09400282326217,-73.13432835820896,10.958904109589032
peak_cross_track,default,10,0.1328,0.1306,0.844373836120815,10.839758020256335,-18.644067796610187,13.513513513513509
peak_cross_track,strong,10,0.19949999999999998,0.1947,2.1635311487254016,5.817288151925085,-6.249999999999991,11.274509803921566
peak_cross_track,crosswind,10,0.42069999999999996,0.5932,-41.11577554727431,4.270669635177621,-47.073791348600494,-34.782608695652165
